,0,1
723, GI_14277699-S,
724, GI_16554595-A,
725, GI_14861835-A,
726, GI_13129121-S,
727, GI_16596687-S,
728, GI_15011942-S,
729, GI_13375978-S,
730, GI_14591917-S,
731, GI_12232388-S,
732, GI_14149802-S,
733, GI_13129067-S,
734, GI_16418376-S,
735, GI_14150081-S,
736, GI_16157523-S,
737, GI_10518505-I,
738, GI_13376430-S,
739, GI_13123771-S,
740, GI_11063982-S,
741, GI_12232414-S,
742, GI_14141189-S,
743, GI_11545800-S,
744, GI_12621918-S,
745, GI_15011899-A,
746, GI_16554575-S,
747, GI_14249535-S,
748, GI_14165436-A,
749, GI_15011920-S,
750, GI_14195617-A,
751, GI_16554576-S,
752, GI_16554612-S,
753, GI_13376532-S,
754, GI_14149980-S,
755, GI_13904868-S,
756, GI_13325059-S,
757, GI_14591918-S,
758, GI_16445417-S,
759, GI_10518505-A,
760, GI_16306593-I,
761, GI_14150133-S,
762, GI_13027599-S,
763, GI_13994260-S,
764, GI_14165471-S,
765, GI_13376061-S,
766, GI_13518022-S,
767, GI_14249537-S,
768, GI_12408674-S,
769, GI_11545766-S,
770, GI_13376690-S,
771, GI_16905514-S,
772, GI_10938021-S,
773, GI_13994281-S,
774, GI_10864024-S,
775, GI_14110430-A,
776, GI_12232402-S,
777, GI_14249251-S,
778, GI_13994241-S,
779, GI_13375694-S,
780, GI_12597630-S,
781, GI_13430881-A,
782, GI_12408655-S,
783, GI_13929468-S,
784, GI_14150127-S,
785, GI_13375890-A,
786, GI_15451906-S,
787, GI_16753226-S,
788, GI_15451941-S,
789, GI_16753228-S,
790, GI_13124772-S,
791, GI_13129063-S,
792, GI_13375790-S,
793, GI_12232478-S,
794, GI_15208655-A,
795, GI_14591911-S,
796, GI_11024697-S,
797, GI_15055542-S,
798, GI_13994286-S,
799, GI_13129135-S,
800, GI_13376161-S,
801, GI_16306581-S,
802, GI_12669906-S,
803, GI_10863946-S,
804, GI_13375645-S,
805, GI_14702172-A,
806, GI_14150063-S,
807, GI_15431299-S,
808, GI_13376995-S,
809, GI_13162281-S,
810, GI_11038650-S,
811, GI_13899296-S,
812, GI_14149955-S,
813, GI_14719429-S,
814, GI_13376239-S,
815, GI_15150808-S,
816, GI_15451924-S,
817, GI_13129117-A,
818, GI_10835022-S,
819, GI_13699820-S,
820, GI_13129141-S,
821, GI_13124889-S,
822, GI_12707569-S,
823, GI_13569869-S,
824, GI_14150046-S,
825, GI_11037054-S,
826, GI_13376006-S,
827, GI_12383063-S,
828, GI_15022798-S,
